Date,return_1d,hl_range,Volume,news_count_1d,news_count_7d,sentiment_mean_1d,sentiment_mean_7d,sentiment_vol_7d,Close
2024-11-19,-0.030188739337966508,0.16147858857310743,241800,0.0,0.0,0.0,0.0,0.0,2.569999933242798
2024-11-20,-0.21789881608009976,0.5373134567361019,9529700,0.0,0.0,0.0,0.0,0.0,2.009999990463257
2024-11-21,-0.13432834935699933,0.21264367973588702,1362600,0.0,0.0,0.0,0.0,0.0,1.7400000095367432
2024-11-22,0.0459770359062488,0.1538461336924284,2645100,0.0,0.0,0.0,0.0,0.0,1.8200000524520874
2024-11-25,0.20329670005771172,0.20547941402593603,2011500,0.0,0.0,0.0,0.0,0.0,2.190000057220459
2024-11-26,0.022831027858393638,0.24107141051517464,1999600,0.0,0.0,0.0,0.0,0.0,2.240000009536743
2024-11-27,-0.013392844313413588,0.15384611235318918,629000,0.0,0.0,0.0,0.0,0.0,2.2100000381469727
2024-11-29,-0.04072405024180603,0.09198110555150944,502700,0.0,0.0,0.0,0.0,0.0,2.119999885559082
2024-12-02,0.1745283697881359,0.20481927249395504,2375500,0.0,0.0,0.0,0.0,0.0,2.490000009536743
2024-12-03,-0.07630524357138779,0.1260869425501397,661000,0.0,0.0,0.0,0.0,0.0,2.299999952316284
2024-12-04,-0.004347822030685733,0.12227073190132261,619400,0.0,0.0,0.0,0.0,0.0,2.2899999618530273
2024-12-05,-0.07423584241302095,0.21226418489406793,1549700,0.0,0.0,0.0,0.0,0.0,2.119999885559082
2024-12-06,-0.1367923859898038,0.18032795321628284,1729900,0.0,0.0,0.0,0.0,0.0,1.8300000429153442
2024-12-09,0.06557377155969979,0.23076918844640712,4744000,0.0,0.0,0.0,0.0,0.0,1.9500000476837158
2024-12-10,-0.010256461357301072,0.1088082511113487,4245100,0.0,0.0,0.0,0.0,0.0,1.9299999475479126
2024-12-11,0.031088115865008925,0.422110567514091,60138700,0.0,0.0,0.0,0.0,0.0,1.9900000095367432
2024-12-12,0.040200966493803225,0.14975843129323424,19453500,0.0,0.0,0.0,0.0,0.0,2.069999933242798
2024-12-13,-0.03864730738456079,0.11557795838218018,8775400,0.0,0.0,0.0,0.0,0.0,1.9900000095367432
2024-12-16,0.07035181117248634,0.061502363813747865,8634700,0.0,0.0,0.0,0.0,0.0,2.130000114440918
2024-12-17,0.544600838069244,0.5562309862992654,72529500,0.0,0.0,0.0,0.0,0.0,3.2899999618530273
2024-12-18,0.1398176423953168,0.21973330179850262,44897300,0.0,0.0,0.0,0.0,0.0,3.75
2024-12-19,-0.1893333435058594,0.22697362745402522,13059600,0.0,0.0,0.0,0.0,0.0,3.0399999618530273
2024-12-20,-0.026315764707210976,0.19256762307956254,12527800,0.0,0.0,0.0,0.0,0.0,2.9600000381469727
2024-12-23,0.09121620859692281,0.10216715843881448,11086200,0.0,0.0,0.0,0.0,0.0,3.2300000190734863
2024-12-24,0.10216715843881441,0.14887639885071527,26417600,0.0,0.0,0.0,0.0,0.0,3.559999942779541
2024-12-26,0.2977527977014305,0.33982678218924406,40285600,0.0,0.0,0.0,0.0,0.0,4.619999885559082
2024-12-27,-0.00432900030777672,0.2630434920071206,39694300,0.0,0.0,0.0,0.0,0.0,4.599999904632568
2024-12-30,0.026086932184114398,0.2129237120117609,18996900,0.0,0.0,0.0,0.0,0.0,4.71999979019165
2024-12-31,-0.1906779442700588,0.26570677597472164,15777200,0.0,0.0,0.0,0.0,0.0,3.819999933242798
2025-01-02,0.07068068692762774,0.14205374805650975,11451900,0.0,0.0,0.0,0.0,0.0,4.090000152587891
2025-01-03,0.056234721391870135,0.14351854151413673,13476900,0.0,0.0,0.0,0.0,0.0,4.320000171661377
