sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
132,3,0.8185389,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
132,4,0.8185389,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
132,5,0.8185389,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
132,6,0.8185389,0.33054549,0.35531572,0.025486235,0.8138256,5.5160006e-05,0.8232,0.77453184,0.96910113
133,0,0.80518466,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
133,1,0.80518466,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
133,2,0.80518466,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
133,3,0.80518466,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
133,4,0.80518466,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
133,5,0.80518466,0.33054549,0.35531572,0.025486235,0.8138256,5.5160006e-05,0.8232,0.77453184,0.96910113
133,6,0.80518466,0.3231853,0.3665242,0.015497363,0.8185389,0.0006873785,0.8296,0.7790262,0.9681648
134,0,0.80675566,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
134,1,0.80675566,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
134,2,0.80675566,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
134,3,0.80675566,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
134,4,0.80675566,0.33054549,0.35531572,0.025486235,0.8138256,5.5160006e-05,0.8232,0.77453184,0.96910113
134,5,0.80675566,0.3231853,0.3665242,0.015497363,0.8185389,0.0006873785,0.8296,0.7790262,0.9681648
134,6,0.80675566,0.29816374,0.35435942,0.036097392,0.80518466,7.743616e-05,0.8264,0.7741573,0.964794
135,0,0.8146112,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
135,1,0.8146112,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
