Date,DOWJONES,NASDAQ,DXY,S&P500,VIX,US10Y
2021-01-07,31041.13086,13067.48047,89.83000183,3803.790039,22.37000084,1.07099998
2021-01-08,31097.9707,13201.98047,90.09999847,3824.679932,21.55999947,1.105000019
2021-01-11,31008.68945,13036.42969,90.54000092,3799.610107,24.07999992,1.131999969
2021-01-12,31068.68945,13072.42969,90.05000305,3801.189941,23.32999992,1.138000011
2021-01-13,31060.4707,13128.9502,90.31999969,3809.840088,22.20999908,1.088000059
2021-01-14,30991.51953,13112.63965,90.23999786,3795.540039,23.25,1.128999949
2021-01-15,30814.25977,12998.5,90.77999878,3768.25,24.34000015,1.097000003
2021-01-19,30930.51953,13197.17969,90.5,3798.909912,23.23999977,1.092000008
2021-01-20,31188.38086,13457.25,90.47000122,3851.850098,21.57999992,1.090000033
2021-01-21,31176.00977,13530.91016,90.12999725,3853.070068,21.31999969,1.108999968
2021-01-22,30996.98047,13543.05957,90.23999786,3841.469971,21.90999985,1.090999961
2021-01-25,30960,13635.99023,90.38999939,3855.360107,23.19000053,1.039999962
2021-01-26,30937.03906,13626.05957,90.16999817,3849.620117,23.02000046,1.039999962
2021-01-27,30303.16992,13270.59961,90.65000153,3750.77002,37.20999908,1.014000058
2021-01-28,30603.35938,13337.16016,90.45999908,3787.379883,30.20999908,1.057000041
2021-01-29,29982.61914,13070.69043,90.58000183,3714.23999,33.09000015,1.093000054
2021-02-01,30211.91016,13403.38965,91.01999664,3773.860107,30.23999977,1.077000022
2021-02-02,30687.48047,13612.78027,91.19999695,3826.310059,25.55999947,1.105000019
2021-02-03,30723.59961,13610.54004,91.12000275,3830.169922,22.90999985,1.131000042
2021-02-04,31055.85938,13777.74023,91.52999878,3871.73999,21.77000046,1.139000058
2021-02-05,31148.24023,13856.2998,91.04000092,3886.830078,20.87000084,1.169999957
2021-02-08,31385.75977,13987.63965,90.93000031,3915.590088,21.23999977,1.159999967
2021-02-09,31375.83008,14007.7002,90.44000244,3911.22998,21.62999916,1.156999946
2021-02-10,31437.80078,13972.53027,90.37000275,3909.879883,21.98999977,1.133000016
2021-02-11,31430.69922,14025.76953,90.41999817,3916.379883,21.25,1.157999992
2021-02-12,31458.40039,14095.46973,90.48000336,3934.830078,19.96999931,1.200000048
2021-02-16,31522.75,14047.5,90.51000214,3932.590088,21.45999908,1.299000025
2021-02-17,31613.01953,13965.49023,90.94999695,3931.330078,21.5,1.300999999
2021-02-18,31493.33984,13865.36035,90.58999634,3913.969971,22.48999977,1.286999941
2021-02-19,31494.32031,13874.45996,90.36000061,3906.709961,22.04999924,1.345000029
2021-02-22,31521.68945,13533.0498,90.01000214,3876.5,23.45000076,1.370000005
2021-02-23,31537.34961,13465.2002,90.16999817,3881.370117,23.11000061,1.361999989
2021-02-24,31961.85938,13597.96973,90.18000031,3925.429932,21.34000015,1.389000058
2021-02-25,31402.00977,13119.42969,90.12999725,3829.340088,28.88999939,1.518000007
2021-02-26,30932.36914,13192.34961,90.93000031,3811.149902,27.95000076,1.460000038
